DATE,Price
1/1/2004,1131.1
2/1/2004,1144.9
3/1/2004,1126.2
4/1/2004,1107.3
5/1/2004,1120.7
6/1/2004,1140.8
7/1/2004,1101.7
8/1/2004,1104.2
9/1/2004,1114.6
10/1/2004,1130.2
11/1/2004,1173.8
12/1/2004,1211.9
1/1/2005,1181.3
2/1/2005,1203.6
3/1/2005,1180.6
4/1/2005,1156.8
5/1/2005,1191.5
6/1/2005,1191.3
7/1/2005,1234.2
8/1/2005,1220.3
9/1/2005,1228.8
10/1/2005,1207
11/1/2005,1249.5
12/1/2005,1248.3
1/1/2006,1280.1
2/1/2006,1280.7
3/1/2006,1294.8
4/1/2006,1310.6
5/1/2006,1270.1
6/1/2006,1270.2
7/1/2006,1276.7
8/1/2006,1303.8
9/1/2006,1335.8
10/1/2006,1377.9
11/1/2006,1400.6
12/1/2006,1418.3
1/1/2007,1438.2
2/1/2007,1406.8
3/1/2007,1420.9
4/1/2007,1482.4
5/1/2007,1530.6
6/1/2007,1503.3
7/1/2007,1455.3
8/1/2007,1474
9/1/2007,1526.8
10/1/2007,1549.4
11/1/2007,1481.1
12/1/2007,1468.4
1/1/2008,1378.5
2/1/2008,1330.6
3/1/2008,1322.7
4/1/2008,1385.6
5/1/2008,1400.4
6/1/2008,1280
7/1/2008,1267.4
8/1/2008,1282.8
9/1/2008,1166.4
10/1/2008,968.8
11/1/2008,896.2
12/1/2008,903.2
1/1/2009,825.9
2/1/2009,735.1
3/1/2009,797.9
4/1/2009,872.8
5/1/2009,919.1
6/1/2009,919.3
7/1/2009,987.5
8/1/2009,1020.6
9/1/2009,1057.1
10/1/2009,1036.2
11/1/2009,1095.6
12/1/2009,1115.1
1/1/2010,1073.9
2/1/2010,1104.5
3/1/2010,1169.4
4/1/2010,1186.7
5/1/2010,1089.4
6/1/2010,1030.7
7/1/2010,1101.6
8/1/2010,1049.3
9/1/2010,1141.2
10/1/2010,1183.3
11/1/2010,1180.5
12/1/2010,1257.6
1/1/2011,1286.1
2/1/2011,1327.2
3/1/2011,1325.8
4/1/2011,1363.6
5/1/2011,1345.2
6/1/2011,1320.6
7/1/2011,1292.3
8/1/2011,1218.9
9/1/2011,1131.4
10/1/2011,1253.3
11/1/2011,1247
12/1/2011,1257.6
1/1/2012,1312.4
2/1/2012,1365.7
3/1/2012,1408.5
4/1/2012,1397.9
5/1/2012,1310.3
6/1/2012,1362.2
7/1/2012,1379.3
8/1/2012,1406.6
9/1/2012,1440.7
10/1/2012,1412.2
11/1/2012,1416.2
12/1/2012,1426.2
1/1/2013,1498.1
2/1/2013,1514.7
3/1/2013,1569.2
4/1/2013,1597.6
5/1/2013,1630.7
6/1/2013,1606.3
7/1/2013,1685.7
8/1/2013,1633
9/1/2013,1681.5
10/1/2013,1756.5
11/1/2013,1805.8
12/1/2013,1848.4
1/1/2014,1782.6
2/1/2014,1859.5
3/1/2014,1872.3
4/1/2014,1884
5/1/2014,1923.6
6/1/2014,1960.2
7/1/2014,1930.7
8/1/2014,2003.4
9/1/2014,1972.3
10/1/2014,2018
11/1/2014,2067.6
12/1/2014,2058.9
1/1/2015,1995
2/1/2015,2104.5
3/1/2015,2067.9
4/1/2015,2085.5
5/1/2015,2107.4
6/1/2015,2063.1
7/1/2015,2103.8
8/1/2015,1972.2
9/1/2015,1920
10/1/2015,2079.4
11/1/2015,2080.4
12/1/2015,2043.9
1/1/2016,1940.2
2/1/2016,1932.2
3/1/2016,2059.7
4/1/2016,2065.3
5/1/2016,2097
6/1/2016,2098.9
7/1/2016,2173.6
8/1/2016,2170.9
9/1/2016,2168.3
10/1/2016,2126.2
11/1/2016,2198.8
12/1/2016,2238.8
1/1/2017,2278.9
2/1/2017,2363.6
3/1/2017,2362.7
4/1/2017,2384.2
5/1/2017,2411.8
6/1/2017,2423.4
7/1/2017,2470.3
8/1/2017,2471.7
9/1/2017,2519.4
10/1/2017,2575.3
11/1/2017,2647.6
12/1/2017,2673.6
1/1/2018,2823.8
2/1/2018,2713.8
3/1/2018,2640.9
4/1/2018,2648.1
5/1/2018,2705.3
6/1/2018,2718.4
7/1/2018,2816.3
8/1/2018,2901.5
9/1/2018,2914
10/1/2018,2711.7
11/1/2018,2760.2
12/1/2018,2506.8
1/1/2019,2704.1
2/1/2019,2784.5
3/1/2019,2834.4
4/1/2019,2945.8
5/1/2019,2752.1
6/1/2019,2941.8
7/1/2019,2980.4
8/1/2019,2926.5
9/1/2019,2976.7
10/1/2019,3037.6
11/1/2019,3141
12/1/2019,3230.8
1/1/2020,3225.5
2/1/2020,2954.2
3/1/2020,2584.6
4/1/2020,2912.4
5/1/2020,3044.3
6/1/2020,3100.3
7/1/2020,3271.1
8/1/2020,3500.3
9/1/2020,3363
10/1/2020,3270
11/1/2020,3621.6
12/1/2020,3756.1
1/1/2021,3714.2
2/1/2021,3811.2
3/1/2021,3972.9
4/1/2021,4181.2
5/1/2021,4204.1
6/1/2021,4297.5
7/1/2021,4395.3
8/1/2021,4522.7
9/1/2021,4307.5
10/1/2021,4605.4
11/1/2021,4567
12/1/2021,4766.2
1/1/2022,4515.6
2/1/2022,4373.9
3/1/2022,4530.4
4/1/2022,4131.9
5/1/2022,4132.1
6/1/2022,3785.4
7/1/2022,4130.3
8/1/2022,3955
9/1/2022,3585.6
10/1/2022,3872
11/1/2022,4080.1
12/1/2022,3839.5
1/1/2023,4076.6
2/1/2023,3970.2
3/1/2023,4109.3
4/1/2023,4169.5
5/1/2023,4179.8
6/1/2023,4450.4
7/1/2023,4589
8/1/2023,4507.7
9/1/2023,4288.1
10/1/2023,4193.8
11/1/2023,4567.8
12/1/2023,4769.8
